3.000000,0.000000,0.001
-1.500000,2.598076,0.001
-1.500000,-2.598076,0.001
9.000000,0.000000,0.001
7.281153,5.290067,0.001
2.781153,8.559509,0.001
-2.781153,8.559509,0.001
-7.281153,5.290067,0.001
-9.000000,0.000000,0.001
-7.281153,-5.290067,0.001
-2.781153,-8.559509,0.001
2.781153,-8.559509,0.001
7.281153,-5.290067,0.001
15.000000,0.000000,0.001
14.265848,4.635255,0.001
12.135255,8.816779,0.001
8.816779,12.135255,0.001
4.635255,14.265848,0.001
0.000000,15.000000,0.001
-4.635255,14.265848,0.001
-8.816779,12.135255,0.001
-12.135255,8.816779,0.001
-14.265848,4.635255,0.001
-15.000000,0.000000,0.001
-14.265848,-4.635255,0.001
-12.135255,-8.816779,0.001
-8.816779,-12.135255,0.001
-4.635255,-14.265848,0.001
-0.000000,-15.000000,0.001
4.635255,-14.265848,0.001
8.816779,-12.135255,0.001
12.135255,-8.816779,0.001
14.265848,-4.635255,0.001
